pathwayName,searchTerms,genes,library,diseaseId,name,therapeuticAreas
Melanoma,melanom,PIK3R2,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,EGFR,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,NRAS,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,CCND1,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,AKT3,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,CDH1,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,E2F1,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,AKT1,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,E2F2,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,FGF21,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,AKT2,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,E2F3,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,FGF20,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,FGF23,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,FGF22,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,MAP2K2,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,CDKN2A,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,GADD45B,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,MAP2K1,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,GADD45A,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,HGF,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,GADD45G,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,IGF1,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,DDB2,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,FGF18,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,FGF17,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,FGF16,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,PIK3R1,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,FGF19,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,FGF10,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,FGFR1,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,MET,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,KRAS,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
Melanoma,melanom,MDM2,KEGG_2021_Human,EFO_0000756,melanoma,['MONDO_0045024']
