pathwayName,searchTerms,genes,library,diseaseId,name,therapeuticAreas
GLAUCOMA,glaucoma,COL8A1,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,LTB,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,COL8A2,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,LTA,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,SAG,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,VDAC1,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,VAC14,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,PKD1,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,TSGA10IP,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,SIX1,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,EHMT2,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,SIX2,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,SIX5,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,CHSY3,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,SIX6,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,SIX3,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,SIX4,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,SCYL1,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
GLAUCOMA,glaucoma,BUB1,Jensen_DISEASES_Experimental_2025,MONDO_0005041,glaucoma,['MONDO_0024458']
Gastrointestinal carcinoma (HP:0002672),carcinoma,DCC,Human_Phenotype_Ontology,EFO_0000313,carcinoma,['MONDO_0045024']
Gastrointestinal carcinoma (HP:0002672),carcinoma,SMAD4,Human_Phenotype_Ontology,EFO_0000313,carcinoma,['MONDO_0045024']
Gastrointestinal carcinoma (HP:0002672),carcinoma,MLH1,Human_Phenotype_Ontology,EFO_0000313,carcinoma,['MONDO_0045024']
Gastrointestinal carcinoma (HP:0002672),carcinoma,AXIN2,Human_Phenotype_Ontology,EFO_0000313,carcinoma,['MONDO_0045024']
Gastrointestinal carcinoma (HP:0002672),carcinoma,PTPN12,Human_Phenotype_Ontology,EFO_0000313,carcinoma,['MONDO_0045024']
Gastrointestinal carcinoma (HP:0002672),carcinoma,MSH2,Human_Phenotype_Ontology,EFO_0000313,carcinoma,['MONDO_0045024']
Gastrointestinal carcinoma (HP:0002672),carcinoma,MLH3,Human_Phenotype_Ontology,EFO_0000313,carcinoma,['MONDO_0045024']
Gastrointestinal carcinoma (HP:0002672),carcinoma,MCC,Human_Phenotype_Ontology,EFO_0000313,carcinoma,['MONDO_0045024']
Gastrointestinal carcinoma (HP:0002672),carcinoma,TGFBR2,Human_Phenotype_Ontology,EFO_0000313,carcinoma,['MONDO_0045024']
Gastrointestinal carcinoma (HP:0002672),carcinoma,PDGFRL,Human_Phenotype_Ontology,EFO_0000313,carcinoma,['MONDO_0045024']
Gastrointestinal carcinoma (HP:0002672),carcinoma,APC,Human_Phenotype_Ontology,EFO_0000313,carcinoma,['MONDO_0045024']
Gastrointestinal carcinoma (HP:0002672),carcinoma,PIK3CA,Human_Phenotype_Ontology,EFO_0000313,carcinoma,['MONDO_0045024']
Gastrointestinal carcinoma (HP:0002672),carcinoma,BUB1B,Human_Phenotype_Ontology,EFO_0000313,carcinoma,['MONDO_0045024']
Gastrointestinal carcinoma (HP:0002672),carcinoma,MSH6,Human_Phenotype_Ontology,EFO_0000313,carcinoma,['MONDO_0045024']
Gastrointestinal carcinoma (HP:0002672),carcinoma,BAX,Human_Phenotype_Ontology,EFO_0000313,carcinoma,['MONDO_0045024']
Gastrointestinal carcinoma (HP:0002672),carcinoma,FGFR3,Human_Phenotype_Ontology,EFO_0000313,carcinoma,['MONDO_0045024']
Gastrointestinal carcinoma (HP:0002672),carcinoma,TP53,Human_Phenotype_Ontology,EFO_0000313,carcinoma,['MONDO_0045024']
Gastrointestinal carcinoma (HP:0002672),carcinoma,BMPR1A,Human_Phenotype_Ontology,EFO_0000313,carcinoma,['MONDO_0045024']
Gastrointestinal carcinoma (HP:0002672),carcinoma,CTNNB1,Human_Phenotype_Ontology,EFO_0000313,carcinoma,['MONDO_0045024']
Gastrointestinal carcinoma (HP:0002672),carcinoma,RAD54B,Human_Phenotype_Ontology,EFO_0000313,carcinoma,['MONDO_0045024']
Gastrointestinal carcinoma (HP:0002672),carcinoma,PTPRJ,Human_Phenotype_Ontology,EFO_0000313,carcinoma,['MONDO_0045024']
Gastrointestinal carcinoma (HP:0002672),carcinoma,FLCN,Human_Phenotype_Ontology,EFO_0000313,carcinoma,['MONDO_0045024']
Gastrointestinal carcinoma (HP:0002672),carcinoma,NRAS,Human_Phenotype_Ontology,EFO_0000313,carcinoma,['MONDO_0045024']
Gastrointestinal carcinoma (HP:0002672),carcinoma,STK11,Human_Phenotype_Ontology,EFO_0000313,carcinoma,['MONDO_0045024']
